Title,Year,Author(s),Venue
Energy-Aware Path Planning for Autonomous Mobile Robot Navigation,2020,"Renan Maidana, Roger Granada, Darlan Jurak, Mauricio Magnaguagno, Felipe Meneguzzi, Alexandre Amory",Conference
An experimental energy consumption comparison between trajectories generated by using the cart-table model and an optimization approach for the Bioloid robot,2020,"Tacué, Jeison; Rengifo, Carlos; Bravo, Diego",Journal
Energy Comparison of Controllers Used for a Differential Drive Wheeled Mobile Robot,2020,"Stefek, Alexandr; Pham, Thuan Van; Krivanek, Vaclav; Pham, Khac Lam",Journal
Energy-Conscientious Trajectory Planning for an Autonomous Mobile Robot in an Asymmetric Task Space,2020,"Bakshi, Soovadeep; Feng, Tianheng; Yan, Zeyu; Ma, Zheren; Chen, Dongmei",Journal
Least-Energy Path Planning With Building Accurate Power Consumption Model of Rotary Unmanned Aerial Vehicle,2020,"Hong, Dooyoung; Lee, Seonhoon; Cho, Young Hoo; Baek, Donkyu; Kim, Jaemin; Chang, Naehyuck",Journal
Mathematical methods for planning energy-efficient motion path of the manipulator anthropomorphic robot for the typical obstacles,2020,"Petrenko, V I; Tebueva, F B; Antonov, V O; Gurchinsky, M M",Journal
Minimizing the Energy Consumption for a Hexapod Robot Based on Optimal Force Distribution,2020,"Wang, Guanyu; Ding, Liang; Gao, Haibo; Deng, Zongquan; Liu, Zhen; Yu, Haitao",Journal
Multi-Robot Energy-Efficient Coverage Control with Hopfield Networks,2020,"TURANLI, Mert; TEMELTAS, Hakan",Journal
Reinforcement Learning-Based Energy-Aware Area Coverage for Reconfigurable hRombo Tiling Robot,2020,"Le, Anh Vu; Parween, Rizuwana; Kyaw, Phone Thiha; Mohan, Rajesh Elara; Minh, Tran Hoang Quang; Borusu, Charan Satya Chandra Sairam",Journal
Adaptive Floor Cleaning Strategy by Human Density Surveillance Mapping with a Reconfigurable Multi-Purpose Service Robot,2021,"Sivanantham, Vinu; Le, Anh Vu; Shi, Yuyao; Elara, Mohan Rajesh; Sheu, Bing J.",Journal
An efficient transmission algorithm for power grid data suitable for autonomous multi-robot systems,2021,"Chen, Xiaoyan; Liang, Wei; Zhou, Xinlian; Jiang, Dingchao; Kui, Xiaoyan; Li, Kuang-Ching",Journal
An Energy-Efficient Communication Scheme for Multi-robot Coordination Deployed for Search and Rescue Operations,2021,"Rajesh, M.; Nagaraja, S. R.",Book Chapter
Applied energy optimization of multi-robot systems through motion parameter tuning,2021,"Hovgard, Mattias; Lennartson, Bengt; Bengtsson, Kristofer",Journal
Battery Charge Dispatching in Multi-robot Systems,2021,"Xing, Zichao; Wu, Weimin; Niu, Haoyi; Hu, Ruifen",Conference
Coverage Path Planning Using Reinforcement Learning-Based TSP for hTetran—A Polyabolo-Inspired Self-Reconfigurable Tiling Robot,2021,"Le, Anh Vu; Veerajagadheswar, Prabakaran; Thiha Kyaw, Phone; Elara, Mohan Rajesh; Nhan, Nguyen Huu Khanh",Journal
Energy Consumption of Control Schemes for the Pioneer 3DX Mobile Robot: Models and Evaluation,2021,"Jaiem, Lotfi; Crestani, Didier; Lapierre, Lionel; Druon, Sébastien",Journal
