domain,major_consumers,evaluation_type,energy_model,qa_tradeoff,techniques,metric,confidence,needs_review,file
robot exploration,sensors,simulation,representational,performance vs energy,"['computation allocation and scheduling', 'motion and trajectory optimization']",composite objective including energy,0.9,False,Performance_Analysis_of_Task_Allocation_for_Mobile_Robot_Exploration_Under_Energy_Constraints.pdf
robot exploration,motors and actuators,simulation,representational,performance vs energy,"['motion and trajectory optimization', 'learning or predictive optimization']",aggregate energy/power,0.9,True,applsci-11-06023.pdf
robot exploration,motors and actuators,simulation,representational,performance vs energy,['motion and trajectory optimization'],aggregate energy/power,0.9,False,Minimizing_the_Energy_Consumption_for_a_Hexapod_Robot_Based_on_Optimal_Force_Distribution.pdf
robot exploration,motors and actuators,hybrid,representational,performance vs energy,"['motion and trajectory optimization', 'learning or predictive optimization']",aggregate energy/power,0.85,False,Simulation_to_Real_Learning_Energy-Efficient_Slithering_Gaits_for_a_Snake-Like_Robot.pdf
iot power,communication subsystem,simulation,representational,performance vs energy,['learning or predictive optimization'],composite objective including energy,0.85,True,optimal-path-planning-for-wireless-power-transfer-robot-using-area-division-deep-reinforcement-learning.pdf
robot exploration,sensors,physical,representational,performance vs energy,"['power management and idle control', 'computation allocation and scheduling']",aggregate energy/power,0.85,False,s10846-021-01374-6.pdf
robot exploration,motors and actuators,simulation,representational,performance vs energy,"['computation allocation and scheduling', 'motion and trajectory optimization']",task-normalized energy,0.85,False,1175802.pdf
additive manufacturing,motors and actuators,simulation,representational,accuracy vs energy,"['motion and trajectory optimization', 'computation allocation and scheduling', 'learning or predictive optimization']",composite objective including energy,0.9,False,1-s2.0-S0736584524000218-main.pdf
iot power,communication subsystem,physical,representational,performance vs energy,['learning or predictive optimization'],aggregate energy/power,0.9,False,Optimize_Path_Planning_for_Drone-based_Wireless_Power_Transfer_System_by_Categorized_Reinforcement_Learning.pdf
service or domestic,mechanical motion pattern,hybrid,abstract,performance vs energy,['learning or predictive optimization'],composite objective including energy,0.85,True,s40747-023-01015-5.pdf
robot exploration,motors and actuators,hybrid,representational,performance vs energy,"['computation allocation and scheduling', 'motion and trajectory optimization']",composite objective including energy,0.85,True,Power_Line_Inspection_Tasks_With_Multi-Aerial_Robot_Systems_Via_Signal_Temporal_Logic_Specifications.pdf
robot exploration,motors and actuators,simulation,representational,stability vs energy,['motion and trajectory optimization'],aggregate energy/power,0.9,False,electronics-11-02982-v2.pdf
industrial,motors and actuators,simulation,representational,performance vs energy,['motion and trajectory optimization'],physics-based integrals,0.9,False,applsci-11-02346-v2.pdf
service or domestic,computing and controllers,physical,representational,performance vs energy,['learning or predictive optimization'],relative change versus baseline,0.9,True,978-981-99-7886-1_43.pdf
aerial,sensors,hybrid,other,performance vs energy,['motion and trajectory optimization'],other,0.85,True,drones-07-00471.pdf
service or domestic,motors and actuators,hybrid,representational,performance vs energy,"['power management and idle control', 'computation allocation and scheduling']",aggregate energy/power,0.85,True,sustainability-14-10056-v2.pdf
robot exploration,motors and actuators,physical,representational,performance vs energy,"['power management and idle control', 'motion and trajectory optimization']",relative change versus baseline,0.9,False,Three-Tiered_Controller_for_Obstacle_Avoidance_in_a_PV_Panel-Powered_Wheeled_Mobile_Robot_Considering_Actuators_and_Power_Electronics_Stages.pdf
industrial,motors and actuators,hybrid,representational,performance vs energy,"['motion and trajectory optimization', 'learning or predictive optimization']",composite objective including energy,0.95,False,sensors-21-00335-v2.pdf
industrial,motors and actuators,hybrid,representational,performance vs energy,"['motion and trajectory optimization', 'learning or predictive optimization']",composite objective including energy,0.9,False,biomimetics-09-00010.pdf
service or domestic,motors and actuators,physical,representational,performance vs energy,['motion and trajectory optimization'],composite objective including energy,0.9,False,tacue-et-al-2020-an-experimental-energy-consumption-comparison-between-trajectories-generated-by-using-the-cart-table.pdf
service or domestic,motors and actuators,physical,representational,performance vs energy,['motion and trajectory optimization'],composite objective including energy,0.85,True,Collision-Free_Navigation_in_Human-Following_Task_Using_a_Cognitive_Robotic_System_on_Differential_Drive_Vehicles.pdf
robot exploration,computing and controllers,hybrid,representational,performance vs energy,['motion and trajectory optimization'],aggregate energy/power,0.9,False,18463-79403-1-PB.pdf
