year,filename,abstract_extraction_status,energy_goal,energy_quote,software_contribution,software_quote,evaluation_method,evaluation_quote,recommendation,justification,error
2020,1-s2.0-S0168169920314757-main.pdf,Success,Not Mentioned,Not Mentioned,A green pepper target recognition method based on manifold ranking for a harvesting robot,a green pepper target recognition method based on manifold ranking is proposed in this paper,Comparative analysis with other methods,"compared with classification and regression tree (cart), conditional random fields (crf) and threshold, the proposed method can effectively identify the green pepper target, with the recognition accuracy of 83.6% and recall rate of 81.2%",Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
2020,1-s2.0-S2211285520304365-main.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,1-s2.0-S240545691930080X-main.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Systematic review and cumulative analysis of available studies,A systematic review of the literature was performed to identify relevant studies up to December 2018 through PubMed and Embase databases. A meta-analysis was conducted with the RevMan 5.3 software.,Exclude,"The study does not focus on energy efficiency or software aspects of robotics. It is a systematic review, which is a secondary study and thus does not meet the inclusion criteria.",
2020,14.pdf,Success,Description of the power buoy movement for energy harvesting,the aim of this paper is to present possibility of description the power buoy movement as an kinematic chain of manipulator.,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Exclude,"The abstract does not mention any software aspects of the robotic system (e1), nor does it provide any form of evaluation (i4).",
2020,18463-79403-1-PB.pdf,Success,Integrate energy awareness in the path planning of a mobile robot performing autonomous navigation,"battery life is yet one of the main limiting factors to a robot’s total mission time, and efficient energy management is paramount in a robotic application.",Formalization of a planning domain for mobile robot path planning which accounts for energy consumption and integrates energy actions in the generated plans,our contributions are: 1) the formalization of a planning domain for mobile robot path planning which accounts for energy consumption and integrates energy actions in the generated plans; 2) a proof of concept of automatic path planning that avoids high energy areas in a known environment.,Simulation and real-world experiments,"we test our approach in simulation, extending an embedded computer’s total battery discharge time by approximately 42.8%, and in a real ground mobile robot, achieving a mean energy draw reduction of 52.02%, both compared to conventional path planning.",Include,"The study meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an evaluation through simulation and real-world experiments (i4). The study is presumably peer-reviewed and written in English (i5, i6), although this is not explicitly stated in the abstract. None of the exclusion criteria apply.",
2020,978-981-15-5199-4_21.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,A virtual power algorithm for dynamics analysis of a 3-RRcP spherical parallel robot using the screw theory.pdf,Success,Not Mentioned,Not Mentioned,Not Mentioned,Not Mentioned,Two case studies are considered that their solutions are compared by a commercial dynamics software package (CDSP).,"In order to represent correctness and accuracy of the obtained equations of motion, two case studies are considered that their solutions are compared by a commercial dynamics software package (CDSP).",Exclude,"The abstract does not mention any focus on energy efficiency or software aspects of the robotic system, which are key inclusion criteria. Although it does mention an evaluation method, it does not meet all the necessary criteria for inclusion.",
2020,Applied Bionics and Biomechanics - 2020 - Chen - Analysis of Stiffness and Energy Consumption of Nonlinear Elastic Joint.pdf,Error,,,,,,,,,Error: Could not find abstract section.
2020,Art.-4-Issue-2-SIC-2020.pdf,Success,Optimize energy efficiency in multi-robot systems with different actuation capabilities,the algorithm proposed in the paper not only makes use of the energy-efficient coverage optimal control scheme but also utilizes hopfield neural networks (hnn) in order to perform collaboration among the agents according to their different actuation performances without knowing them beforehand.,Proposes an algorithm that uses Hopfield Neural Networks for energy-efficient collaboration among robots with different actuation capabilities,the algorithm proposed in the paper not only makes use of the energy-efficient coverage optimal control scheme but also utilizes hopfield neural networks (hnn) in order to perform collaboration among the agents according to their different actuation performances without knowing them beforehand.,Empirical assessment through MATLAB simulation and experimental results,the matlab simulation and experimental results regarding the proposed online and distributed algorithm are given.,Include,"The abstract meets all the inclusion criteria: it focuses on robotics (i1), energy efficiency (i2), and software aspects of the robotic system (i3). It provides an empirical assessment (i4), and it is presumably a peer-reviewed study written in English (i5, i6). None of the exclusion criteria apply.",
2020,Device_Target_Checking_for_Power_Patrol_Robot_Based_on_Objectness_Estimation.pdf,Success,Not Mentioned,Not Mentioned,"A hierarchical, coarse-to-fine, fast device detection and recognition method for patrol robots","According to the requirements of patrol tasks, a hierarchical, coarse-to-fine, fast device detection and recognition method is proposed.",Empirical assessment,"The experiments validate the effectiveness, accuracy and real-time of this method.",Exclude,"The study focuses on robotics and software aspects, and provides an evaluation. However, it does not focus on energy efficiency, which is one of the key inclusion criteria.",
