file,manual_decision
2021/s10846-020-01288-9.pdf,include
2024/oiae012.pdf,include
2024/applsci-14-01637-v2.pdf,include
2023/The_Need_for_Task-Specific_Execution_in_Robot_Manipulation_Skill_Design_for_Energy-Efficient_Control.pdf,include
2023/s11071-023-08233-z.pdf,include
2023/s42452-023-05321-y.pdf,exclude
2021/Performance_Analysis_of_Task_Allocation_for_Mobile_Robot_Exploration_Under_Energy_Constraints.pdf,include
2024/jmse-12-01765.pdf,include
2024/DevelopmentofaBatteryManagementSystemwithIoT-EnabledDataTrackingforAutonomousLoadRobot.pdf,exclude
2022/1-s2.0-S0306261922004743-main.pdf,include
