file,consensus
2023/1-s2.0-S0921889023001100-main.pdf,exclude
2023/1-s2.0-S0273117722009024-main.pdf,exclude
2022/s42979-022-01373-w.pdf,exclude
2021/10.2478_ata-2021-0032.pdf,exclude
2024/Proceedings_of_the_7th_FIRST_2023_International_Co..._----_(Automatic_Transfer_Switch_System_for_Controlling_theEnergy_Utilization...).pdf,exclude
2020/Energy_Management_for_Medical_Rescue_Robot.pdf,exclude
2023/A_Flexible_Lightweight_7.4_V_Input_300_V_to_1500_V_Output_Power_Converter_for_an_Untethered_Modular_Piezoelectric_Soft_Robot.pdf,exclude
2023/applsci-13-03780.pdf,exclude
2024/3268-Article Text-3176-1-10-20240407.pdf,exclude
2023/978-3-031-49421-5_31.pdf,exclude
2022/sensors-22-07538-v2.pdf,exclude
2022/3498361.3539775.pdf,exclude
2021/Segundo_Artigo_Publicado_COBEM2021.pdf,exclude
2023/applsci-13-00997.pdf,exclude
2023/1-s2.0-S0921889022001592-main.pdf,exclude
2020/e3sconf_icrteg2020_02001.pdf,exclude
2022/Flying_STAR2_a_Hybrid_Flying_Driving_Robot_With_a_Clutch_Mechanism_and_Energy_Optimization_Algorithm.pdf,exclude
2022/1-s2.0-S0736584522000163-main.pdf,exclude
2024/Research_on_Multi-robot_Path_Planning_Based_on_Optimal_Energy_Consumption.pdf,exclude
2024/Ricmonk_A_Three-Link_Brachiation_Robot_with_Passive_Grippers_for_Energy-Efficient_Brachiation.pdf,exclude
2023/Energy_Optimal_Trajectory_Planning_of_Welding_Robot_Based_on_Improved_Particle_Swarm_Optimization_Algorithm.pdf,exclude
2023/sensors-23-05439.pdf,exclude
2021/1-s2.0-S2405896321022485-main.pdf,exclude
2023/energies-16-02959-v3.pdf,exclude
2021/Intelligent_robot_inspection_system_for_photovoltaic_power_station_based_on_plateau_environment.pdf,exclude
2024/Optimal_robot_motion_planning_for_human-robot_collaboration_considering_power_and_force_limiting.pdf,exclude
2024/Research_the_Potential_for_Energy_Saving_and_Maximizing_Productivity_in_Rectilinear_Transitions_of_a_Collaborative_Robot.pdf,include
2021/Data-Driven_Energy_Estimation_of_Individual_Instructions_in_User-Defined_Robot_Programs_for_Collaborative_Robots.pdf,exclude
2021/Energy_Performance_Analysis_of_a_Differential_Wheeled_Mobile_Robot_with_Fuzzy_Logic_Controller.pdf,exclude
2021/Adaptive_Flower_Pollination_Algorithm-Based_Energy_Efficient_Routing_Protocol_for_Multi-Robot_Systems.pdf,exclude
2024/amiri-et-al-2023-optimization-and-control-of-an-energy-efficient-vibration-driven-robot.pdf,exclude
2023/robotics-12-00013-v2.pdf,exclude
2022/1-s2.0-S095741742101294X-main.pdf,exclude
2023/electronics-12-04239.pdf,include
2021/1-s2.0-S0020025521004916-main.pdf,include
2021/monitoringpaper.pdf,exclude
2022/Minimalist_Coverage_and_Energy-Aware_Tour_Planning_for_a_Mobile_Robot.pdf,include
2022/Human-Robot_Collaboration_Re-Manufacturing_for_Uncertain_Disassembly_in_Retired_Battery_Recycling.pdf,exclude
2021/978-981-16-1089-9_16.pdf,include
2022/sensors-22-07545-v2.pdf,include
2020/Art.-4-Issue-2-SIC-2020.pdf,include
2021/mathematics-09-03160.pdf,exclude
2022/actuators-11-00130-v3.pdf,include
2024/Solar_Based_Battery_Efficient_Robot_Using_Raspberry_Pi.pdf,exclude
2022/sensors-22-09861.pdf,exclude
2023/1-s2.0-S1110016823006063-main.pdf,exclude
2022/s11432-020-3170-2.pdf,exclude
2022/A novel energy consumption model for autonomous mobile robot.pdf,maybe-(included)
2020/Hardware_Acceleration_of_Monte-Carlo_Sampling_for_Energy_Efficient_Robust_Robot_Manipulation.pdf,exclude
2021/1-s2.0-S0736584521000909-main.pdf,exclude
2021/Energy-Efficient_Mobile_Robot_Control_via_Run-time_Monitoring_of_Environmental_Complexity_and_Computing_Workload.pdf,include
2024/Bočák_2024_J._Phys.__Conf._Ser._2714_012003.pdf,exclude
2024/The_development_of_a_neural_network_surrogate_model_for_estimating_energy_and_travel_time_for_a_collaborative_robot.pdf,include
2022/Gait_Parameter_Optimization_of_Quadruped_Robot_Under_Energy_Consumption_Index_Based_on_Reinforcement_Learning.pdf,exclude
2024/00G5_actuators-13-00516-p.pdf,include
2023/8th MDSRIC-132.pdf,exclude
2021/1-s2.0-S1755581721001280-main.pdf,include
