set,file,tei_hash,decision,confidence,quote
Include,2021/1-s2.0-S1755581721001280-main.pdf,0ea15e9d00faac138d469b558c01a3954306b7e9d8cdcd3af4958c4191415e4a,include,high,The aim of the experiment is primarily to evaluate how much the energy use of the real station is reduced with the optimized settings compared to the original settings.
Include,2021/Power_Line_Inspection_Tasks_With_Multi-Aerial_Robot_Systems_Via_Signal_Temporal_Logic_Specifications.pdf,2c01ad55ceda2a0d16daa59a3e68b30243c2cfbfef5b3508b5f7266dc5ec186c,include,high,The STL motion planner (see Section IV) was implemented in MATLAB and the obtained trajectories were sent to onboard PCs before running the experiment.
Include,2023/Energy_Efficient_Multi-Robot_Task_Allocation_Constrained_by_Time_Window_and_Precedence.pdf,8266856691410c5a1fef0f842dc6ebe3e6912f83fb82ea5c21dfa12059725920,include,high,"We evaluated these algorithms from five metrics: the task completed rate, energy cost, makespan, distance, and idle time."
Include,2024/Research_the_Potential_for_Energy_Saving_and_Maximizing_Productivity_in_Rectilinear_Transitions_of_a_Collaborative_Robot.pdf,3818f8c780131c6ecde135885d55fcd83e84346b2d4d636a5a7a070fb0ae21a1,include,high,"The input data for the optimization problem are: [...] it is possible to perform a series of actions to calculate and select the optimal TCP linear speed profile to maximize either the operation's performance, or its energy efficiency, or a combination of weighted P + EE values."
Include,2023/s11071-023-08233-z.pdf,c1035021b407ac3497a8eae87776e866ab51f2cb3723cadf01ad477379a6882e,include,high,"The simulation experiments show that the proposed method can not only reduce the peak value, but also save comprehensively 44% of energy."
Include,2020/Art.-4-Issue-2-SIC-2020.pdf,c18b8d6a6531678d28eaec5e2e1e4fbd01eab1d9a7409d1c44a94d85f32e9b6d,include,high,The experiments show that the algorithm is capable of performing energy-efficient optimal coverage and collaboration among the agents.
Include,2022/byun-yang-2022-an-energy-efficient-and-self-triggered-control-method-for-robot-swarm-networking-systems.pdf,0b82e720c862094ccd9ca84d5363a9bf9dd0ac13365bf414968bd009def26e46,include,high,The proposed method automatically adjusts the operation state of each robot agent so energy consumption ratio is balanced among the robot agents.
Include,2022/On_the_Effect_of_Heterogeneous_Robot_Fleets_on_Smart_Warehouses_Order_Time_Energy_and_Operating_Costs.pdf,d3cdaf3e3123d7dd266e158eaa8ece4822cff951ee2994e9d3183e38ef29cef1,include,high,"The algorithm nCAR generates routes where the order fulfillment time will be longer, but the performance is better either with homogeneous fleets or with two types of highcapacity robots."
Include,2024/Spike-based_high_energy_efficiency_and_accuracy_tracker_for_Robot.pdf,fe700ca98190650a4298112f0abcbca00a06fe337b2e9695594c020970653307,include,high,"After deployment, we conducted two experiments on the Summit-XL. Experiment 1: We tested object tracking algorithms on pre-recorded dynamic scene videos using both the Summit-XL and a computer to compare tracking accuracy."
Include,2024/jmse-12-01765.pdf,9c7fd7d94242b89fafb12295a812ff4965b38208697e9e626bd941c82eb88a1c,maybe,low,the DKM-MFPG (dynamic Kuhn-Munkres model-free policy gradient) algorithm based on dispatching and reinforcement learning is proposed
