Title,Year,Authors,ArticleURL,Source,Publisher,Abstract,Cites,CitesURL
Tin disulfide piezoelectric nanogenerators for biomechanical energy harvesting and intelligent human-robot interface applications,2020,"PK Yang, SA Chou, CH Hsu, RJ Mathew, KH Chiang, ...",https://www.sciencedirect.com/science/article/pii/S2211285520304365,Nano Energy,Elsevier,"… ) device to display the energy harvesting and active sensing capabilities. Most importantly, the SnS 2 PENG device was utilized to explore the synchronous human-robot control of a …",72,"https://scholar.google.com/scholar?cites=6706324252138241255&as_sdt=2005&sciodt=0,5&hl=en"
Energy comparison of controllers used for a differential drive wheeled mobile robot,2020,"A Stefek, T Van Pham, V Krivanek, KL Pham",https://ieeexplore.ieee.org/abstract/document/9193941/,IEEE Access,ieeexplore.ieee.org,"… Drive Wheeled Mobile Robot (DDWMR), an energy consumption … robot’s position and a given path, a linear velocity, an angular velocity, a travel path length, and a total kinetic energy …",87,"https://scholar.google.com/scholar?cites=17820492819545436695&as_sdt=2005&sciodt=0,5&hl=en"
Near-infrared fluorescence imaging with indocyanine green in robot-assisted partial nephrectomy: pooled analysis of comparative studies,2020,"A Veccia, A Antonelli, LJ Hampton, F Greco, ...",https://www.sciencedirect.com/science/article/pii/S240545691930080X,European Urology …,Elsevier,… A meta-analysis was conducted with the RevMan 5.3 software. … We assessed the outcomes of robot-assisted partial nephrectomy (RAPN) performed with or without the use of near-…,47,"https://scholar.google.com/scholar?cites=13990660217516354389&as_sdt=2005&sciodt=0,5&hl=en"
Wall-climbing robot with active sealing for radiation safety of nuclear power plants,2020,"D Kim, YS Kim, K Noh, M Jang, ...",https://www.tandfonline.com/doi/abs/10.1080/00295639.2020.1777023,Nuclear science and …,Taylor &Francis,… Section IV discusses the software configuration to operate the robot automatically. The performance of the robot is improved to enable autonomous driving on the curved wall by using …,23,"https://scholar.google.com/scholar?cites=9499143159693856112&as_sdt=2005&sciodt=0,5&hl=en"
Energy-Efficient Hip Joint Offsets in Humanoid Robot via Taguchi Method and Bio-inspired Analysis,2020,"J Kim, J Yang, ST Yang, Y Oh, G Lee",https://www.mdpi.com/2076-3417/10/20/7287,Applied Sciences,mdpi.com,… the sum of the root-mean-square power consumption from three actuated hip joints was set … power consumption of a humanoid robot model implemented in physics simulation software. …,7,"https://scholar.google.com/scholar?cites=10601941731511645080&as_sdt=2005&sciodt=0,5&hl=en"
Measurement of power line sagging using sensor data of a power line inspection robot,2020,"AT Zengin, G Erdemir, TC Akinci, S Seker",https://ieeexplore.ieee.org/abstract/document/9103065/,Ieee Access,ieeexplore.ieee.org,"… The embedded software running on the robot is completely designed with Simulink, as shown in Figure 4. Some blocks are coded in C language manually. The model compiled using …",43,"https://scholar.google.com/scholar?cites=14805055275100431923&as_sdt=2005&sciodt=0,5&hl=en"
Energy efficiency of force-sensor-controlled humanoid-robot walking on indoor surfaces,2020,"S Bhattacharya, S Dutta, A Luo, ...",https://ieeexplore.ieee.org/abstract/document/9301314/,IEEE …,ieeexplore.ieee.org,… The walking pattern was generated by the robot-operating-software platform (ROSP) and the robot controller (ie RCB-4HV). Pizo-resistive-membrane force sensors (PRMFS) below the …,5,"https://scholar.google.com/scholar?cites=13879096031964999479&as_sdt=2005&sciodt=0,5&hl=en"
Research on novel spatial structure of power generation of spherical robot,2020,"Y Zhai, Z Ding, Y Liu, S Jin, ...",https://journals.sagepub.com/doi/abs/10.1177/0954408920932358,Proceedings of the …,journals.sagepub.com,"… In order to study power generation rule, the Adams software is used for simulating and analyzing the motion with different structure layout and different wind speed. Only a single …",5,"https://scholar.google.com/scholar?cites=17754127317973185005&as_sdt=2005&sciodt=0,5&hl=en"
Energy modeling for a differential guide mobile robot using simscape,2020,"S Fadlo, N Rabbah, ...",https://ieeexplore.ieee.org/abstract/document/9523652/,… Symposium on Advanced …,ieeexplore.ieee.org,… complete energy model has been developed in Simscape software to illustrate that. The estimated energy consumption is compared with typical motor energy and mixed energy models…,2,"https://scholar.google.com/scholar?cites=4162206829550384184&as_sdt=2005&sciodt=0,5&hl=en"
Target recognition method of green pepper harvesting robot based on manifold ranking,2020,"W Ji, X Gao, B Xu, GY Chen, D Zhao",https://www.sciencedirect.com/science/article/pii/S0168169920314757,Computers and electronics in …,Elsevier,"… the recognition of green pepper harvesting robot in the near … , super-pixels extracted via energy-driven sampling (SEEDS) is … green pepper target is obtained to realize the recognition of …",33,"https://scholar.google.com/scholar?cites=4137676580835378728&as_sdt=2005&sciodt=0,5&hl=en"
Dynamics of a Planar Redundant Robot Based on Energy Conservation Law and Graph Theory,2020,"G Boiadjiev, I Chavdarov, ...",https://ieeexplore.ieee.org/abstract/document/9238220/,… Conference on Software …,ieeexplore.ieee.org,… drive power can be optimized. In this work is considered a planar redundant 3D printed robot with … The dynamic model is developed using the energy conservation law and graph theory. …,2,"https://scholar.google.com/scholar?cites=10776374130728351449&as_sdt=2005&sciodt=0,5&hl=en"
Research on mechanism configuration and coordinated control for power distribution network live working robot,2020,"Y Yan, W Jiang, D Zou, W Quan, HJ Li, ...",https://www.emerald.com/insight/content/doi/10.1108/ir-02-2020-0036/full/html,Industrial Robot: the …,emerald.com,"… working robot for distribution network maintenance, the robot is … , so as the robot power distribution maintenance function … of the distribution network-robot with small arms and in small …",23,"https://scholar.google.com/scholar?cites=379763788885038834&as_sdt=2005&sciodt=0,5&hl=en"
Reinforcement learning-based energy-aware area coverage for reconfigurable hRombo tiling robot,2020,"AV Le, R Parween, PT Kyaw, RE Mohan, ...",https://ieeexplore.ieee.org/abstract/document/9262896/,IEEE …,ieeexplore.ieee.org,… The robot can reconfigure its base structure into seven distinct … three robot hinges connecting robot modules. The problem of optimal path planning assisting the proposed hRombo robot …,34,"https://scholar.google.com/scholar?cites=759260328330240952&as_sdt=2005&sciodt=0,5&hl=en"
Mathematical methods for planning energy-efficient motion path of the manipulator anthropomorphic robot for the typical obstacles,2020,"VI Petrenko, FB Tebueva, VO Antonov, ...",https://iopscience.iop.org/article/10.1088/1757-899X/919/5/052055/meta,IOP Conference …,iopscience.iop.org,… The software for methods and algorithms of the quasi-… robot on one charging cycle by reducing the energy consumption of … a typical obstacle by planning an energy-efficient travel path. …,2,"https://scholar.google.com/scholar?cites=7440345193374348911&as_sdt=2005&sciodt=0,5&hl=en"
