Cites,Authors,Title,Year,Source,Publisher,ArticleURL,CitesURL,GSRank,QueryDate,Type,DOI,ISSN,CitationURL,Volume,Issue,StartPage,EndPage,ECC,CitesPerYear,CitesPerAuthor,AuthorCount,Age,Abstract,FullTextURL,RelatedURL
6,"LW Wang, WW Zhang, TH Wang, CD Wang, ...",Design and simulation of a single leg of a jumpable bionic robot with joint energy storage function,2020,Procedia Computer …,Elsevier,https://www.sciencedirect.com/science/article/pii/S1877050920302143,"https://scholar.google.com/scholar?cites=8448666523560389202&as_sdt=2005&sciodt=0,5&hl=en",1,2025-03-27 20:21:38,,,,,,,,,6,1.2,1,5,5,"… simulation analysis of the robot motion, the … software and the model was imported into ADAMS software for dynamic simulation. In the ADAMS software, the jumping ability of the robot is …",https://www.sciencedirect.com/science/article/pii/S1877050920302143/pdf?md5=d6d8c82bc81bbfb06a7ad5368ea78474&pid=1-s2.0-S1877050920302143-main.pdf,"https://scholar.google.com/scholar?q=related:UiqNsnCxP3UJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
72,"PK Yang, SA Chou, CH Hsu, RJ Mathew, KH Chiang, ...",Tin disulfide piezoelectric nanogenerators for biomechanical energy harvesting and intelligent human-robot interface applications,2020,Nano Energy,Elsevier,https://www.sciencedirect.com/science/article/pii/S2211285520304365,"https://scholar.google.com/scholar?cites=6706324252138241255&as_sdt=2005&sciodt=0,5&hl=en",2,2025-03-27 20:21:38,,,,,,,,,72,14.4,12,6,5,"… ) device to display the energy harvesting and active sensing capabilities. Most importantly, the SnS 2 PENG device was utilized to explore the synchronous human-robot control of a …",https://scholar.nycu.edu.tw/files/672878489/2020_Tin_disulfide_piezoelectric_nanogenerators_for_biomechanical_energy_harvesting_and_intelligent_human_robot_interface_applications.pdf,"https://scholar.google.com/scholar?q=related:53xJLWCmEV0J:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
87,"A Stefek, T Van Pham, V Krivanek, KL Pham",Energy comparison of controllers used for a differential drive wheeled mobile robot,2020,IEEE Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9193941/,"https://scholar.google.com/scholar?cites=17820492819545436695&as_sdt=2005&sciodt=0,5&hl=en",3,2025-03-27 20:21:38,,,,,,,,,87,17.4,22,4,5,"… Drive Wheeled Mobile Robot (DDWMR), an energy consumption … robot’s position and a given path, a linear velocity, an angular velocity, a travel path length, and a total kinetic energy …",https://ieeexplore.ieee.org/iel7/6287639/8948470/09193941.pdf,"https://scholar.google.com/scholar?q=related:F7JnZ80bT_cJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
47,"A Veccia, A Antonelli, LJ Hampton, F Greco, ...",Near-infrared fluorescence imaging with indocyanine green in robot-assisted partial nephrectomy: pooled analysis of comparative studies,2020,European Urology …,Elsevier,https://www.sciencedirect.com/science/article/pii/S240545691930080X,"https://scholar.google.com/scholar?cites=13990660217516354389&as_sdt=2005&sciodt=0,5&hl=en",4,2025-03-27 20:21:38,,,,,,,,,47,9.4,9,5,5,… A meta-analysis was conducted with the RevMan 5.3 software. … We assessed the outcomes of robot-assisted partial nephrectomy (RAPN) performed with or without the use of near-…,https://www.francescogreco.info/wp-content/uploads/2020/03/veccia-EUR-UROL-FOCUS-2019.pdf,"https://scholar.google.com/scholar?q=related:VWtAllfPKMIJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
44,"L Scalera, P Boscariol, G Carabin, R Vidoni, ...",Enhancing energy efficiency of a 4-DOF parallel robot through task-related analysis,2020,Machines,mdpi.com,https://www.mdpi.com/2075-1702/8/1/10,"https://scholar.google.com/scholar?cites=18006095403608655627&as_sdt=2005&sciodt=0,5&hl=en",5,2025-03-27 20:21:38,HTML,,,,,,,,44,8.8,9,5,5,… robot workspace is investigated. An optimal position of the task relative to the robot can indeed reduce the actuators’ effort and the energy … to be calculated by the software. Each point of …,https://www.mdpi.com/2075-1702/8/1/10,"https://scholar.google.com/scholar?q=related:C0fjg16A4vkJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
23,"D Kim, YS Kim, K Noh, M Jang, ...",Wall-climbing robot with active sealing for radiation safety of nuclear power plants,2020,Nuclear science and …,Taylor &Francis,https://www.tandfonline.com/doi/abs/10.1080/00295639.2020.1777023,"https://scholar.google.com/scholar?cites=9499143159693856112&as_sdt=2005&sciodt=0,5&hl=en",6,2025-03-27 20:21:38,,10.1080/00295639.2020.1777023,,,,,,,23,4.6,5,5,5,… Section IV discusses the software configuration to operate the robot automatically. The performance of the robot is improved to enable autonomous driving on the curved wall by using …,,"https://scholar.google.com/scholar?q=related:cE0iCGC804MJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
7,"J Kim, J Yang, ST Yang, Y Oh, G Lee",Energy-Efficient Hip Joint Offsets in Humanoid Robot via Taguchi Method and Bio-inspired Analysis,2020,Applied Sciences,mdpi.com,https://www.mdpi.com/2076-3417/10/20/7287,"https://scholar.google.com/scholar?cites=10601941731511645080&as_sdt=2005&sciodt=0,5&hl=en",7,2025-03-27 20:21:38,HTML,,,,,,,,7,1.4,1,5,5,… the sum of the root-mean-square power consumption from three actuated hip joints was set … power consumption of a humanoid robot model implemented in physics simulation software. …,https://www.mdpi.com/2076-3417/10/20/7287,"https://scholar.google.com/scholar?q=related:mDMkVNWpIZMJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
2,"MV Sreenivas Rao, M Shivakumar",PLX-DAQ-Based Wireless Battery Monitoring System for Obstacle Avoidance Robot,2020,Control Instrumentation Systems …,Springer,https://link.springer.com/chapter/10.1007/978-981-13-9419-5_12,"https://scholar.google.com/scholar?cites=6173055506157301831&as_sdt=2005&sciodt=0,5&hl=en",8,2025-03-27 20:21:38,,10.1007/978-981-13-9419-5_12,,,,,,,2,0.4,1,2,5,… power from batteries which have a limited power life. Monitoring the status of the battery power on the robot … The software programs are written using embedded C on Arduino-integrated …,https://www.researchgate.net/profile/Shivakumar-Mahadevappa/publication/335274656_PLX-DAQ-Based_Wireless_Battery_Monitoring_System_for_Obstacle_Avoidance_Robot/links/5e8fed8292851c2f5291155b/PLX-DAQ-Based-Wireless-Battery-Monitoring-System-for-Obstacle-Avoidance-Robot.pdf,"https://scholar.google.com/scholar?q=related:R3BGz0YZq1UJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
43,"AT Zengin, G Erdemir, TC Akinci, S Seker",Measurement of power line sagging using sensor data of a power line inspection robot,2020,Ieee Access,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9103065/,"https://scholar.google.com/scholar?cites=14805055275100431923&as_sdt=2005&sciodt=0,5&hl=en",9,2025-03-27 20:21:38,,,,,,,,,43,8.6,11,4,5,"… The embedded software running on the robot is completely designed with Simulink, as shown in Figure 4. Some blocks are coded in C language manually. The model compiled using …",https://ieeexplore.ieee.org/iel7/6287639/6514899/09103065.pdf,"https://scholar.google.com/scholar?q=related:M2ZiCFUfds0J:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
5,"S Bhattacharya, S Dutta, A Luo, ...",Energy efficiency of force-sensor-controlled humanoid-robot walking on indoor surfaces,2020,IEEE …,ieeexplore.ieee.org,https://ieeexplore.ieee.org/abstract/document/9301314/,"https://scholar.google.com/scholar?cites=13879096031964999479&as_sdt=2005&sciodt=0,5&hl=en",10,2025-03-27 20:21:38,,,,,,,,,5,1,1,4,5,… The walking pattern was generated by the robot-operating-software platform (ROSP) and the robot controller (ie RCB-4HV). Pizo-resistive-membrane force sensors (PRMFS) below the …,https://ieeexplore.ieee.org/iel7/6287639/8948470/09301314.pdf,"https://scholar.google.com/scholar?q=related:N6_OdE50nMAJ:scholar.google.com/&scioq=intitle:robot+intitle:power%7Cintitle:green%7Cintitle:energy%7Cintitle:battery+software&hl=en&as_sdt=0,5&as_ylo=2020&as_yhi=2020&as_vis=1"
