year,title,doi
2024,Modeling analysis and experiment for energy system of ocean energy driven unmanned marine vehicle: The Yulang II case study,https://doi.org/10.1002/rob.22290
2021,Comparison of Energy Prediction Algorithms for Differential and Skid-Steer Drive Mobile Robots on Different Ground Surfaces,https://doi.org/10.3390/en14206722
2024,Automated mission planning for aerial large‐scale power plant thermal inspection,https://doi.org/10.1002/rob.22320
2024,Energy Utilization Prediction Techniques for Heterogeneous Mobile Robots: A Review,https://doi.org/10.3390/en17133256
2024,Energy-oriented optimization of the task allocation for mobile robots,https://doi.org/10.1016/j.procir.2024.08.321
2023,Energy and Performance Analysis of Robotic Applications Using Artificial Neural Network,https://doi.org/10.4018/978-1-6684-6596-7.ch006
2023,Impact of PS Load on FPGA Object Detection System Performance,https://doi.org/10.5954/icarob.2023.os17-5
2022,Autonomous Multiple Robots Exploration using Evolutionary Optimization Algorithm,https://doi.org/10.1109/icesc54411.2022.9885392
2025,UV‐C Disinfection Robots: A Systematic Review,https://doi.org/10.1002/rob.22555
2024,Feasibility Study of the Seven-Bar Linkage 7-PR(RRRR)RP Used for Medical Disinfection Robot,https://doi.org/10.3390/robotics13120177
2023,Dynamic Optimization of Mechanism Parameters of Bipedal Robot Considering Full-Range Walking Energy Efficiency,https://doi.org/10.3390/app131910791
2024,UV-C Disinfection Robots: A Systematic Review,https://doi.org/10.22541/au.171766302.20385033/v1
2025,Collision-free Navigation of a Sensorless Autonomous Robot in Indoor Environments with Moving and Steady Obstacles,https://doi.org/10.1109/med64031.2025.11073315
2022,Characterization of motion power loss of off‐road wheeled robot in a slippery terrain,https://doi.org/10.1002/rob.22116
2024,Performance Guarantee for Autonomous Robotic Missions using Resource Management: The PANORAMA Approach,https://doi.org/10.1007/s10846-024-02058-7
2022,Amelioration of Energy Dissipation Through Robotic Evacuation Process of Solid Bulk Materials: Effectiveness of Wheel Slip Control System,https://doi.org/10.1007/s13369-022-07371-7
2024,A Hybrid Parameters Estimation Approach for Power Consumption Modeling of Ground Mobile Robots With Unknown Payload,https://doi.org/10.1002/rob.22470
2022,Performing Energy-Efficient Motions for Wheeled Mobile Robots by Designing an Orientation Controller,https://doi.org/10.1007/978-3-031-20490-6_12
2025,DUALIPA: a new immune plasma algorithm for path planning of unmanned aerial vehicles,https://doi.org/10.1007/s10586-024-04941-2
2021,Trajectory Planning of Robot Manipulator Based on RBF Neural Network,https://doi.org/10.3390/e23091207
2023,Optimal Path Planning Through a Sequence of Waypoints,https://doi.org/10.1109/lra.2023.3240662
2021,Path Planning in Uncertain Environment With Moving Obstacles Using Warm Start Cross Entropy,https://doi.org/10.1109/tmech.2021.3071723
2022,A centroid opposition-based coral reefs algorithm for solving an automated guided vehicle routing problem with a recharging constraint,https://doi.org/10.1016/j.asoc.2022.109504
2024,Route and Speed Co-optimization for Improving Energy Consumption of Connected Vehicles,https://doi.org/10.1109/tmech.2024.3399019
2022,Power Consumption Modeling of Wheeled Mobile Robots With Multiple Driving Modes,https://doi.org/10.1109/tie.2022.3217603
2021,An overview: on path planning optimization criteria and mobile robot navigation,https://doi.org/10.1088/1742-6596/1988/1/012036
2023,Joint Optimization for Transport and Bucket Loading Phases of Automated Wheel Loaders,https://doi.org/10.1109/tmech.2023.3274416
2024,Optimizing Energy Efficiency with Configuration Constraints for AMR Trajectory Planning,https://doi.org/10.23919/acc60939.2024.10644786
2024,B-Splined Trajectory Modified Generation to Maximize Speed of the Nonholonomic AMR Robot,https://doi.org/10.36897/jme/196037
2025,A novel hybrid LSTM and masked multi-head attention based network for energy consumption prediction of industrial robots,https://doi.org/10.1016/j.apenergy.2024.125223
2025,Industrial Robots and Urban Carbon Emissions: Exploring Mechanisms and Implications,https://doi.org/10.1002/sd.3401
2024,A general energy modeling network for serial industrial robots integrating physical mechanism priors,https://doi.org/10.1016/j.rcim.2024.102761
2025,"Optimal trajectory planning for industrial robots: Minimizing time, jerk, and energy consumption using LSTM for energy profile modeling",https://doi.org/10.1177/10775463251333481
2024,Industrial robot energy consumption model identification: A coupling model-driven and data-driven paradigm,https://doi.org/10.1016/j.eswa.2024.125604
2025,Energy consumption modeling based on operation mechanisms of industrial robots,https://doi.org/10.1016/j.rcim.2025.102971
2025,A novel methodology for saturation setting in parabolic ramp profiles for trajectory planning,https://doi.org/10.1007/s42452-025-06875-9
2025,A Lightweight Deep Learning Framework using Resource-Efficient Batch Normalization for Sarcasm Detection,https://doi.org/10.32628/cseit251143
2025,Integrating Energy and Time Efficiency in Robotic Manufacturing Cell Design: A Methodology for Optimizing Workplace Layout,https://doi.org/10.3390/machines13010038
2025,A Data-Driven Approach for Energy Consumption Modeling and Optimization of Welding Robot Systems,https://doi.org/10.3390/machines13060532
2024,Optimizing Energy Consumption of Industrial Robots with Model-Based Layout Design,https://doi.org/10.3390/su16031053
2024,Regression Model for the Prediction of Total Motor Power Used by an Industrial Robot Manipulator during Operation,https://doi.org/10.3390/machines12040225
