set,file,tei_hash,decision,confidence,quote
Snowballed,2022/information-13-00288-v2.pdf,35c60a26af74bbb41bf37b54f9c54d3e82ef4c994c5390a9bb5740c51556fb9e,exclude,high,"For our tests, both algorithms were executed 100 times for each robot-task pair."
Snowballed,2024/00G5_actuators-13-00037-p.pdf,535c8f3cbfaacfc966ef0d3e997ad6b5b4ae6e3709cf7dde4e3310683eb6178d,exclude,high,simulation verification was conducted in MATLAB
Snowballed,2023/SVF-RRT_A_Stream-Based_VF-RRT_for_USVs_Path_Planning_Considering_Ocean_Currents.pdf,441a4785dba8d6dfc826370d198afc354485628ea18cab0525092dd12b73df50,exclude,high,
Snowballed,2020/energies-13-02062-v3.pdf,c832f4b89ec743ed19d56c1e017a97d58299d83f0071c709f4ee49854e3ccd65,exclude,high,
Snowballed,2023/Multi-objective trajectory optimization of the 2-redundancy planar feeding manipulator based on pseudo-attractor and radial basis function neural netw.pdf,4b3fce8d06a785ea2321adbcf456bd9c37e045bb77eaba3e644e4abe55d74c2e,exclude,high,
Snowballed,2024/Automatic_Curriculum_Determination_for_Deep_Reinforcement_Learning_in_Reconfigurable_Robots.pdf,e49e3385608b787d20148d479dda711e04055de917db68577798e49354aabdcc,exclude,high,METHODS
Snowballed,2024/sustainability-16-01053-v2.pdf,148bebbdf33ee8b76a7b0fdee0053ea52ad6214938f21020487d49dd8da3b67e,exclude,high,
Snowballed,2022/ssrn-4147210.pdf,f84790208655cb702608c08d3d2f8f5d25d4f7fb07cbfeb4a1141e72a6a0b9d6,exclude,high,The WMREnergyCon simulation model was created in the MATLAB 2019a environment.
Snowballed,2022/Mathematical Problems in Engineering - 2022 - Li - Robot Trajectory Planning Based on the Energy Management Strategy.pdf,e2386ab32fe346a75d9698432748f6bb3a9f43d90c9938be9bc235dc1f62801f,exclude,high,according to simulation data
Snowballed,2022/A_Hybrid_Iterated_Greedy_Algorithm_for_a_Crane_Transportation_Flexible_Job_Shop_Problem.pdf,aaefff016fe86734c759bd8e35749ea2bc55a7f82a978dfc53fb20c1ac625d6f,exclude,high,This study considered the extension instances of the manufacturing process in a large cement equipment manufacturing company in Tianjin.
Snowballed,2022/1-s2.0-S1270963822005958-main.pdf,b6f02f73f50f9a3061b9b218847eb24d09dd73fdd9616b73ac4e05a976ff9247,exclude,high,"So, proper learning algorithms must be identified."
Snowballed,2024/wevj-15-00166-v2.pdf,da6ebb4d234196d9f06b96f818fae3b606919f0a9115a1e59279634fa76d3240,include,high,The industrial computer has the ROS (Robot Operating System) system installed.
Snowballed,2022/sustainability-14-03049-v2.pdf,40f3b1111b5a31b16734dd1d716a1f276cb65f91553b10b135282b8a7846869e,include,high,The aim of the work was to check the operation of simple algorithms in environmental conditions.
Snowballed,2020/Dynamic_Modeling_Energy_Analysis_and_Path_Planning_of_Spherical_Robots_on_Uneven_Terrains.pdf,1168d8cd3e9831943291b9fcdedbd6823fc02462308caa3ea67b0b28f11f9e74,exclude,high,"The presented inverse dynamic approach, energy analysis algorithm, and power consumption method are evaluated in this section."
